Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4488   101937     3247    97540        0    76462      934      729        0      707        0        0       65417    137307   545366   205935        4        0        0        0        0        0 
    4300   101604     3248    97369        0    77148      758     1173        4     1078        0        0       65418    136803   545363   205933        3        0        0        0        0        0 
    4274   101969     3248    97552        0    76547      806      582        0      522        0        0       65418    137351   545335   205928       27        0        0        0        0        0 
    4373   101647     3249    97357        0    77019      766      992        4      919        0        0       65419    136834   545331   205928        4        0        0        0        0        0 
    4295   102450     3249    97516        0    76072      810      581        0      562        0        0       65419    137796   545329   205927        2        0        0        0        0        0 
    4239   101661     3249    97351        0    77145      770     1023        4      921        0        0       65419    136842   545321   205926        8        0        0        0        0        0 
    4249   102123     3250    97444        0    76547      818      497        0      444        0        0       65420    137397   545296   205924       25        0        0        0        0        0 
    4283   102517     3250    97269        0    76248      732      411        0      392        0        0       65420    137616   545293   205923        3        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4292   101970     3251    97070        0    77021      660 69364620   825689 55551557  4515958   496689       65421    136870   545292   205923  4626273 13037437  1276892    18441      316    23116 
    4173   101582     3251    97640        0    77035      826      755        0      538        0        0       65421    137052   545170   205876      121        0        0        0        0        0 
    4030   101633     3251    97566        0    77286      790     1240        4     1152       17        0       65421    137029   545156   205872       14        0        0        0        0        0 
